"","Rank","Film","Studio","Genre","Year","Gross","Gross.Dom","Pct.Dom","Gross.Ovr","Pct.Ovr","Rotten","IMDB","Rating","Days","Budget"
"135",212,"Minority Report","Fox","Action/Adventure",2002,358400000,132100000,0.369,226300000,0.631,92,7.2,"PG13",132,102
"136",213,"Top Gun","Par.","Action/Adventure",1986,356800000,179800000,0.504,177000000,0.496,55,6.7,"PG",177,15
"137",215,"Apollo 13","Uni.","Drama",1995,355200000,173800000,0.489,181400000,0.511,88,7.5,"PG",177,62
"138",217,"X-Men: First Class","Fox","Action/Adventure",2011,353600000,146400000,0.414,207200000,0.586,88,7.8,"PG13",119,160
"139",223,"Speed","Fox","Action/Adventure",1994,350400000,121200000,0.346,229200000,0.654,90,7.2,"R",189,30
"140",225,"Deep Impact","Par.","Action/Adventure",1998,349500000,140500000,0.402,209000000,0.598,47,6,"PG13",119,75
"141",226,"Dr. Seuss' The Lorax","Uni.","Animation",2012,348800000,214000000,0.614,134800000,0.386,54,6.3,"PG",147,70
"142",229,"I, Robot","Fox","Action/Adventure",2004,347200000,144800000,0.417,202400000,0.583,58,7,"PG13",168,120
"143",230,"Hotel Transylvania","Sony","Animation",2012,346900000,148300000,0.428,198600000,0.572,43,7,"PG",144,85
"144",232,"How the Grinch Stole Christmas","Uni.","Comedy",2000,345100000,260000000,0.753,85100000,0.247,53,5.8,"PG",105,123
"145",234,"The Flintstones","Uni.","Comedy",1994,341600000,130500000,0.382,211100000,0.618,22,4.7,"PG",157,46
"146",235,"Wanted","Uni.","Action/Adventure",2008,341400000,134500000,0.394,206900000,0.606,71,6.7,"R",83,75
"147",237,"Batman Forever","WB","Action/Adventure",1995,336500000,184000000,0.547,152500000,0.453,41,5.4,"PG13",147,100
"148",239,"Journey 2: The Mysterious Island","WB","Action/Adventure",2012,335300000,103900000,0.31,231400000,0.69,42,5.7,"PG",140,79
"149",242,"The Curious Case of Benjamin Button","Par.","Drama",2008,333900000,127500000,0.382,206400000,0.618,73,7.8,"PG13",120,150
"150",243,"Indiana Jones and the Temple of Doom","Par.","Action/Adventure",1984,333100000,179900000,0.54,153200000,0.46,85,7.6,"PG",144,28
"151",245,"Back to the Future Part II","Uni.","Action/Adventure",1989,3.32e+08,118500000,0.357,213500000,0.643,64,7.7,"PG",134,40
